MagpieData avg_dev Number,MagpieData avg_dev AtomicWeight,MagpieData mean NValence,MagpieData avg_dev MeltingT,MagpieData mean MeltingT,MagpieData avg_dev CovalentRadius,MagpieData avg_dev SpaceGroupNumber,MagpieData avg_dev GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev NdValence,MagpieData avg_dev MendeleevNumber,HOMO_energy,MagpieData avg_dev Electronegativity,gllbsc_gap
8.52892561983471,18.51917355371901,4.909090909090909,596.4347107438017,601.5318181818183,50.87603305785125,105.61983471074382,12.915702479338846,20.01090909090909,1.6528925619834711,35.371900826446286,-0.160771,1.0909090909090908,3.17813432486
20.628099173553718,51.54324628099173,9.272727272727273,991.7328925619834,731.7345454545455,29.88429752066116,72.19834710743802,2.1097520661157017,10.555454545454545,2.644628099173554,11.107438016528928,-0.338381,0.6439669421487604,6.06433363261
26.53061224489796,67.32591020408164,9.714285714285714,1320.4897959183675,979.1428571428571,42.44897959183673,88.57142857142857,3.6795918367346947,11.680714285714288,1.2244897959183674,15.918367346938775,-0.338381,0.7918367346938775,5.14326273426
19.834710743801654,48.63054545454545,7.090909090909091,546.6069421487604,555.8563636363638,53.05785123966943,102.54545454545455,17.092314049586776,22.89409090909091,2.8264462809917354,29.305785123966942,-0.273634,1.0294214876033059,3.83328775604
14.75,36.7728625,7.0,283.15125,337.47749999999996,52.5,92.75,21.614166666674997,30.719166666675,3.75,31.25,-0.338381,1.0025,3.88107685304
18.0,43.807249999999996,7.0,286.15999999999997,331.46,56.75,92.75,27.799687499999997,35.123125,3.75,30.875,-0.338381,1.0025,4.23331413389
25.111111111111114,64.99243066666666,10.666666666666666,512.7555555555555,568.1966666666666,52.888888888888886,95.55555555555554,34.586666666666666,38.8425,4.444444444444445,32.22222222222222,-0.304738,0.9644444444444445,3.45731067286
8.777777777777777,20.6861,4.0,686.4344444444445,669.3483333333334,40.44444444444445,97.33333333333333,12.226064814816667,17.55180555555,0.0,35.0,-0.338381,1.0583333333333333,8.12575363582
13.555555555555555,33.049699047901235,4.444444444444445,633.041975308642,547.1555555555556,58.76543209876544,102.8395061728395,15.91037037037037,22.55027777777778,0.8641975308641975,34.93827160493827,-0.338381,1.1493827160493828,6.00311095683
15.5,36.3981,9.0,411.53499999999997,411.86,33.75,73.375,4.244375,13.349375,5.0,8.75,-0.298706,0.7849999999999999,1.4716624148
